"","study_code","survey_design","species","type","area","path","...1","days","Boats","Anglers","Chin.AD.ret","Chin.UM.ret","Chin.AD.rel","Chin.UM.rel","Chin.UK.ret","Chin.UK.rel","Chin.Tot.enc"
"1","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",1,2004-07-01,363.976376781401,805.385822355604,179.871196517613,0,46.0823797451619,593.633352446171,0,41.2465957516079,860.833524460554
"2","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",2,2004-07-02,298.28776712996,626.706161357577,156.137845672549,0,30.2374591748848,853.540521207826,0,26.4711307876776,1066.38695684294
"3","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",3,2004-07-03,569.270772554469,1435.39238572869,168.336240038361,0,99.299392583092,545.377788880285,0,140.187377764365,953.200799266103
"4","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",4,2004-07-04,502.38049833527,1285.03398035958,171.032442578753,0,7.31724019235856,519.232835099398,0,0,697.58251787051
"5","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",5,2004-07-05,318.525259939323,769.260260493403,72.1201113234128,0,14.0198671534969,303.83180093385,0,13.3462753015208,403.318054712281
"6","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",6,2004-07-06,190.289064773762,441.016597286487,37.2206189212102,0,7.82966256727529,169.570909365975,0,0,214.621190854461
"7","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",7,2004-07-07,190.289064773762,441.016597286487,37.2206189212102,0,7.82966256727529,169.570909365975,0,0,214.621190854461
"8","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",8,2004-07-08,190.289064773762,441.016597286487,37.2206189212102,0,7.82966256727529,169.570909365975,0,0,214.621190854461
"9","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",9,2004-07-09,299.845364398727,645.021834975894,56.430916809333,0,21.3599773234986,264.589985479726,0,7.1199924411662,349.500872053724
"10","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",10,2004-07-10,587.435218892757,1318.47613056179,128.719190471964,0,11.1275045253574,426.155703308012,0,13.9093806566967,579.91177896203
"11","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",11,2004-07-11,443.720738928191,1087.90218466224,126.019599470813,0,29.8130308600602,503.164183589889,0,11.888656675161,670.885470595923
"12","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",12,2004-07-12,167.986664082726,369.092851792325,35.0856925657464,0,24.2073857064772,162.072436287363,0,12.8529283130392,234.218442872626
"13","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",13,2004-07-13,167.986664082726,369.092851792325,35.0856925657464,0,24.2073857064772,162.072436287363,0,12.8529283130392,234.218442872626
"14","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",14,2004-07-14,167.986664082726,369.092851792325,35.0856925657464,0,24.2073857064772,162.072436287363,0,12.8529283130392,234.218442872626
"15","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",15,2004-07-15,167.986664082726,369.092851792325,35.0856925657464,0,24.2073857064772,162.072436287363,0,12.8529283130392,234.218442872626
"16","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",16,2004-07-16,281.770880796327,692.269373663734,55.5895341908801,0,18.0073428901896,229.3546493288,0,2.02630472118047,304.97783113105
"17","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",17,2004-07-17,386.716395165397,915.986959846948,150.791025588815,0,71.688271853095,621.854925205826,0,7.83159141995682,852.165814067693
"18","190","M1","Chinook","daily.csv","05","X:/inseason_estimates/R_scripts/daily_estimates/05/190_M1_Chinook_daily.csv",18,2004-07-18,248.302690389019,688.875774073172,61.4860065733839,0,35.5350915926043,205.099135520863,0,11.2064594187771,313.326693105629
